type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,1/25/2024 6:03,24.85067833,67.00460167,2.1,0.9,,0.155,53.0,16,37,,Parking
W,1/25/2024 6:04,24.85044,67.00516667,2.2,4.2,,0.0,,20,36,,Talpur house
W,1/25/2024 6:06,24.85039167,67.00425833,2.8,12.3,,0.0,,19,37,,Main library
W,1/25/2024 6:09,24.85092,67.00391333,2.8,8.1,,1.481,137.0,15,39,,English department
W,1/25/2024 6:10,24.85093333,67.00430333,1.9,0.6,,0.615,96.0,21,39,,Indoor sports hall
T,1/25/2024 6:03,24.85067667,67.004605,2.1,0.9,,0.189,197.0,15,37,20240125-110332,GPS Logger: 20240125-110332 - Right portion from parking
T,1/25/2024 6:03,24.85067667,67.00460333,2.1,0.9,,0.152,251.0,15,37,,
T,1/25/2024 6:03,24.85067667,67.00460333,2.2,0.9,,0.145,152.0,16,37,,
T,1/25/2024 6:03,24.85067833,67.00460167,2.1,0.9,,0.155,53.0,16,37,,
T,1/25/2024 6:03,24.85068,67.00460167,2.1,0.8,,0.161,61.0,16,37,,
T,1/25/2024 6:03,24.850685,67.004605,2.1,0.8,,0.204,28.0,16,37,,
T,1/25/2024 6:03,24.8507,67.00461167,2.0,1.1,,0.193,47.0,16,37,,
T,1/25/2024 6:03,24.85071667,67.00462167,2.0,1.2,,0.183,298.0,16,37,,
T,1/25/2024 6:03,24.850725,67.004625,1.9,1.4,,0.164,292.0,16,37,,
T,1/25/2024 6:03,24.85073,67.004625,1.9,1.5,,0.17,154.0,16,37,,
T,1/25/2024 6:03,24.85072667,67.00462167,1.9,1.5,,0.188,203.0,16,37,,
T,1/25/2024 6:03,24.85072667,67.00462,1.9,1.6,,0.211,212.0,17,37,,
T,1/25/2024 6:03,24.85072333,67.00462,1.9,1.5,,0.0,,17,37,,
T,1/25/2024 6:03,24.85072167,67.00462167,1.9,1.5,,0.0,,17,37,,
T,1/25/2024 6:03,24.85072,67.00462833,1.9,1.6,,0.322,109.0,17,37,,
T,1/25/2024 6:03,24.850715,67.004635,1.9,1.8,,0.329,130.0,19,37,,
T,1/25/2024 6:03,24.85071167,67.00464167,1.9,1.8,,0.392,116.0,19,37,,
T,1/25/2024 6:03,24.85071333,67.00465,1.8,1.9,,0.463,99.0,19,37,,
T,1/25/2024 6:03,24.85071333,67.00465833,1.8,1.9,,0.529,94.0,19,37,,
T,1/25/2024 6:03,24.85071167,67.00466667,1.8,1.9,,0.584,101.0,19,37,,
T,1/25/2024 6:03,24.85070667,67.00467667,1.8,1.9,,0.636,108.0,19,37,,
T,1/25/2024 6:03,24.850705,67.00468667,1.8,1.9,,0.7,104.0,19,37,,
T,1/25/2024 6:03,24.85070333,67.00469833,1.8,1.9,,0.764,100.0,19,37,,
T,1/25/2024 6:03,24.85070167,67.00471167,1.8,1.9,,0.834,103.0,19,37,,
T,1/25/2024 6:03,24.85070167,67.00472333,1.9,1.9,,0.887,100.0,19,37,,
T,1/25/2024 6:03,24.850705,67.00473667,1.9,1.9,,0.935,72.0,18,37,,
T,1/25/2024 6:03,24.85071,67.00475,1.9,2.2,,0.982,74.0,19,37,,
T,1/25/2024 6:03,24.85071333,67.004765,1.9,2.3,,1.033,84.0,19,37,,
T,1/25/2024 6:04,24.85071667,67.00478,1.8,2.3,,1.086,79.0,19,37,,
T,1/25/2024 6:04,24.85071833,67.00479167,1.8,2.2,,1.122,85.0,19,37,,
T,1/25/2024 6:04,24.85072,67.004805,1.8,2.3,,1.143,92.0,19,37,,
T,1/25/2024 6:04,24.85072,67.00481667,1.8,2.4,,1.175,95.0,18,37,,
T,1/25/2024 6:04,24.85071667,67.00482833,1.8,2.5,,1.213,86.0,18,37,,
T,1/25/2024 6:04,24.85071833,67.00484167,1.8,2.5,,1.251,86.0,18,37,,
T,1/25/2024 6:04,24.85072,67.004855,1.8,2.6,,1.274,84.0,18,37,,
T,1/25/2024 6:04,24.85072,67.00487,1.7,2.5,,1.278,81.0,19,37,,
T,1/25/2024 6:04,24.85072167,67.00488167,1.7,2.5,,1.291,94.0,19,37,,
T,1/25/2024 6:04,24.85072167,67.00489667,1.7,2.5,,1.306,98.0,20,37,,
T,1/25/2024 6:04,24.85072,67.00491,1.7,2.3,,1.307,88.0,19,37,,
T,1/25/2024 6:04,24.85072167,67.00492333,1.7,2.3,,1.312,94.0,19,37,,
T,1/25/2024 6:04,24.85071667,67.00493667,1.7,2.1,,1.306,108.0,19,37,,
T,1/25/2024 6:04,24.85071167,67.00494667,1.6,2.1,,1.3,95.0,20,37,,
T,1/25/2024 6:04,24.85070667,67.00495833,1.6,2.1,,1.281,95.0,19,37,,
T,1/25/2024 6:04,24.85070667,67.00497,1.6,2.2,,1.238,92.0,19,37,,
T,1/25/2024 6:04,24.850705,67.00498167,1.6,2.2,,1.223,93.0,20,37,,
T,1/25/2024 6:04,24.850705,67.004995,1.5,2.2,,1.23,84.0,20,37,,
T,1/25/2024 6:04,24.85070333,67.00500667,1.5,2.3,,1.22,94.0,21,37,,
T,1/25/2024 6:04,24.85070167,67.00501833,1.5,2.3,,1.207,96.0,21,37,,
T,1/25/2024 6:04,24.8507,67.00503167,1.5,2.2,,1.207,102.0,20,37,,
T,1/25/2024 6:04,24.85069833,67.00504333,1.5,2.1,,1.214,113.0,21,37,,
T,1/25/2024 6:04,24.85069333,67.00505667,1.5,1.9,,1.243,118.0,21,37,,
T,1/25/2024 6:04,24.85068833,67.00506667,1.5,1.9,,1.244,113.0,21,37,,
T,1/25/2024 6:04,24.85068333,67.00507833,1.5,1.7,,1.233,124.0,21,37,,
T,1/25/2024 6:04,24.850675,67.00508667,1.5,1.4,,1.253,133.0,21,37,,
T,1/25/2024 6:04,24.85066667,67.005095,1.5,1.2,,1.257,140.0,20,37,,
T,1/25/2024 6:04,24.85066,67.00509833,1.5,1.2,,1.233,154.0,21,36,,
T,1/25/2024 6:04,24.85065167,67.00510167,1.5,1.0,,1.241,157.0,21,36,,
T,1/25/2024 6:04,24.85064167,67.00510833,1.6,0.8,,1.24,148.0,21,36,,
T,1/25/2024 6:04,24.85063,67.005115,1.6,0.6,,1.231,165.0,21,36,,
T,1/25/2024 6:04,24.85061833,67.00512,1.6,0.4,,1.244,168.0,21,36,,
T,1/25/2024 6:04,24.85060667,67.005125,1.6,0.4,,1.222,160.0,21,36,,
T,1/25/2024 6:04,24.85059333,67.00512833,1.7,0.4,,1.236,173.0,21,36,,
T,1/25/2024 6:04,24.850585,67.00513,1.7,0.5,,1.225,180.0,21,36,,
T,1/25/2024 6:04,24.85057333,67.00513,1.7,0.4,,1.204,186.0,21,36,,
T,1/25/2024 6:04,24.850565,67.00513,1.7,0.6,,1.205,189.0,21,36,,
T,1/25/2024 6:04,24.85055167,67.00512667,1.7,0.6,,1.269,188.0,21,36,,
T,1/25/2024 6:04,24.85053833,67.005125,1.8,0.6,,1.271,180.0,21,36,,
T,1/25/2024 6:04,24.85053,67.005125,1.8,0.8,,1.218,177.0,21,36,,
T,1/25/2024 6:04,24.85052167,67.005125,1.8,1.1,,1.186,176.0,21,36,,
T,1/25/2024 6:04,24.850515,67.00512833,1.8,1.2,,1.109,170.0,21,36,,
T,1/25/2024 6:04,24.85050667,67.00513333,1.8,1.5,,1.061,163.0,20,36,,
T,1/25/2024 6:04,24.85049667,67.00513833,1.8,1.8,,0.995,163.0,21,36,,
T,1/25/2024 6:04,24.850495,67.00514,1.9,2.0,,0.946,170.0,21,36,,
T,1/25/2024 6:04,24.85049,67.00514167,1.9,2.3,,0.887,175.0,21,36,,
T,1/25/2024 6:04,24.850485,67.00514667,1.9,2.6,,0.806,162.0,21,36,,
T,1/25/2024 6:04,24.85048,67.00515167,1.9,2.8,,0.684,161.0,20,36,,
T,1/25/2024 6:04,24.85046833,67.00515333,1.9,3.3,,0.616,176.0,20,36,,
T,1/25/2024 6:04,24.85045833,67.00516,2.0,3.6,,0.606,172.0,20,36,,
T,1/25/2024 6:04,24.85045167,67.00516333,2.0,3.9,,0.567,180.0,20,36,,
T,1/25/2024 6:04,24.85044833,67.00516667,2.1,4.1,,0.538,165.0,20,36,,
T,1/25/2024 6:04,24.85044667,67.00516667,2.2,4.2,,0.0,,20,36,,
T,1/25/2024 6:04,24.85044,67.00516667,2.2,4.2,,0.0,,20,36,,
T,1/25/2024 6:04,24.85043667,67.00516833,2.3,4.2,,0.0,,20,36,,
T,1/25/2024 6:04,24.850435,67.00516833,2.5,4.2,,0.0,,20,36,,
T,1/25/2024 6:04,24.85043667,67.00516833,2.6,4.2,,0.0,,20,36,,
T,1/25/2024 6:04,24.85044,67.00516833,2.7,4.3,,0.0,,19,36,,
T,1/25/2024 6:04,24.850455,67.00517,3.0,4.4,,0.0,,19,36,,
T,1/25/2024 6:04,24.85048833,67.00517667,3.3,4.6,,0.0,,19,36,,
T,1/25/2024 6:05,24.85052167,67.00518,3.7,4.9,,0.0,,17,36,,
T,1/25/2024 6:05,24.85056833,67.005195,3.9,5.1,,0.0,,18,36,,
T,1/25/2024 6:05,24.85061,67.00520833,4.1,5.4,,0.0,,18,36,,
T,1/25/2024 6:05,24.85064,67.00521667,4.3,5.6,,0.0,,17,36,,
T,1/25/2024 6:05,24.850625,67.00521333,4.4,5.8,,0.0,,16,36,,
T,1/25/2024 6:05,24.85066333,67.00524,4.1,6.1,,0.0,,14,36,,
T,1/25/2024 6:05,24.850665,67.00525667,4.1,6.3,,0.0,,14,36,,
T,1/25/2024 6:05,24.85066667,67.00526333,4.1,6.5,,2.052,110.0,14,36,,
T,1/25/2024 6:05,24.85068167,67.00527167,4.0,6.7,,1.968,83.0,15,36,,
T,1/25/2024 6:05,24.85066,67.00527833,4.0,7.0,,1.781,109.0,14,36,,
T,1/25/2024 6:05,24.85065333,67.005295,3.8,7.4,,1.567,129.0,15,36,,
T,1/25/2024 6:05,24.85065,67.00530167,3.8,7.6,,1.285,137.0,14,36,,
T,1/25/2024 6:05,24.85065,67.0053,1.2,7.5,,0.949,152.0,14,36,,
T,1/25/2024 6:05,24.85065167,67.00530167,1.8,7.6,,0.729,3.0,15,36,,
T,1/25/2024 6:05,24.850655,67.0053,2.1,7.8,,0.669,9.0,16,36,,
T,1/25/2024 6:05,24.85065667,67.00529333,2.3,8.0,,0.599,336.0,15,36,,
T,1/25/2024 6:05,24.850655,67.00527833,2.4,8.1,,0.542,328.0,16,36,,
T,1/25/2024 6:05,24.85063,67.005255,2.3,8.6,,0.525,286.0,16,36,,
T,1/25/2024 6:05,24.850615,67.00523667,2.3,8.8,,0.543,293.0,17,36,,
T,1/25/2024 6:05,24.8506,67.00521833,2.2,9.2,,0.585,263.0,18,36,,
T,1/25/2024 6:05,24.85058833,67.005195,2.2,9.5,,0.648,248.0,18,36,,
T,1/25/2024 6:05,24.85057333,67.00517667,2.1,9.7,,0.716,256.0,20,36,,
T,1/25/2024 6:05,24.85056,67.00516167,2.1,9.9,,0.816,258.0,20,36,,
T,1/25/2024 6:05,24.85054667,67.00514333,2.1,10.1,,0.885,251.0,20,36,,
T,1/25/2024 6:05,24.85054,67.00512667,2.1,10.2,,0.951,269.0,20,36,,
T,1/25/2024 6:05,24.85053667,67.005115,2.0,10.3,,0.988,281.0,20,36,,
T,1/25/2024 6:05,24.850535,67.00510333,2.0,10.3,,1.038,269.0,20,36,,
