type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2024-01-25 06:30:50,24.85040500,67.00424833,2.70,4.100,,0.000,,18,41,,Main library
T,2024-01-25 06:28:47,24.85050667,67.00516000,1.00,7.900,,0.000,,19,40,20240125-112847,GPS Logger: 20240125-112847 - Parking to main library
T,2024-01-25 06:28:48,24.85050667,67.00516000,1.00,7.900,,0.000,,20,40,,
T,2024-01-25 06:28:49,24.85049667,67.00515667,1.20,8.400,,0.305,37,20,40,,
T,2024-01-25 06:28:50,24.85049667,67.00516000,1.30,8.700,,0.000,,20,40,,
T,2024-01-25 06:28:51,24.85049833,67.00516333,1.50,9.000,,0.000,,19,40,,
T,2024-01-25 06:28:52,24.85050000,67.00516667,1.60,9.400,,0.000,,19,40,,
T,2024-01-25 06:28:53,24.85050000,67.00516667,1.70,9.400,,0.000,,19,40,,
T,2024-01-25 06:28:54,24.85050000,67.00516667,1.70,9.400,,0.000,,20,40,,
T,2024-01-25 06:28:55,24.85050000,67.00516667,1.70,9.400,,0.000,,20,40,,
T,2024-01-25 06:28:56,24.85050000,67.00516667,1.70,9.400,,0.000,,20,40,,
T,2024-01-25 06:28:57,24.85050000,67.00516667,1.70,9.400,,0.000,,20,40,,
T,2024-01-25 06:28:58,24.85050000,67.00516667,1.80,9.400,,0.000,,21,40,,
T,2024-01-25 06:28:59,24.85050000,67.00516667,1.70,9.400,,0.000,,21,40,,
T,2024-01-25 06:29:00,24.85050000,67.00516667,1.70,9.400,,0.000,,21,40,,
T,2024-01-25 06:29:01,24.85050000,67.00516667,1.70,9.400,,0.000,,21,40,,
T,2024-01-25 06:29:02,24.85050000,67.00516667,1.70,9.400,,0.000,,21,40,,
T,2024-01-25 06:29:03,24.85050000,67.00516667,1.70,9.400,,0.000,,21,40,,
T,2024-01-25 06:29:04,24.85050000,67.00516667,1.70,9.400,,0.000,,21,40,,
T,2024-01-25 06:29:05,24.85050000,67.00516667,1.70,9.400,,0.000,,21,40,,
T,2024-01-25 06:29:06,24.85050000,67.00516667,1.70,9.400,,0.000,,20,40,,
T,2024-01-25 06:29:07,24.85050000,67.00516667,1.70,9.400,,0.000,,20,40,,
T,2024-01-25 06:29:08,24.85050000,67.00516667,1.70,9.400,,0.000,,21,40,,
T,2024-01-25 06:29:09,24.85050000,67.00516667,1.70,9.400,,0.000,,21,41,,
T,2024-01-25 06:29:10,24.85045667,67.00512500,1.70,10.600,,0.295,271,20,41,,
T,2024-01-25 06:29:11,24.85046000,67.00511667,1.70,10.800,,0.320,271,20,41,,
T,2024-01-25 06:29:12,24.85046167,67.00510833,1.70,10.900,,0.339,271,21,41,,
T,2024-01-25 06:29:13,24.85046500,67.00510000,1.70,11.100,,0.370,283,21,41,,
T,2024-01-25 06:29:14,24.85046500,67.00508833,1.70,11.400,,0.428,269,21,41,,
T,2024-01-25 06:29:15,24.85046333,67.00507833,1.70,11.500,,0.514,269,21,41,,
T,2024-01-25 06:29:16,24.85046333,67.00506833,1.70,11.700,,0.579,265,21,41,,
T,2024-01-25 06:29:17,24.85046000,67.00505833,1.70,11.800,,0.657,267,21,41,,
T,2024-01-25 06:29:18,24.85045667,67.00504500,1.70,11.900,,0.753,261,21,41,,
T,2024-01-25 06:29:19,24.85045500,67.00503333,1.70,12.100,,0.810,260,21,41,,
