type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2024-01-25 06:44:36,24.85065667,67.00507667,5.50,4.900,,0.374,101,13,42,,Parking
T,2024-01-25 06:44:35,24.85069833,67.00498000,6.70,4.900,,1.343,132,9,42,20240125-114435,GPS Logger: 20240125-114435 - Parking to canteen
T,2024-01-25 06:44:36,24.85065667,67.00507667,5.50,4.900,,0.374,101,13,42,,
T,2024-01-25 06:44:37,24.85062500,67.00510333,4.70,4.900,,0.444,80,13,42,,
T,2024-01-25 06:44:38,24.85062333,67.00511500,4.50,4.900,,0.195,104,14,42,,
T,2024-01-25 06:44:39,24.85056500,67.00510333,4.10,5.000,,0.475,117,14,42,,
T,2024-01-25 06:44:40,24.85052333,67.00509667,3.80,5.000,,0.073,81,14,42,,
T,2024-01-25 06:44:41,24.85051167,67.00510000,3.20,5.100,,0.240,161,15,42,,
T,2024-01-25 06:44:42,24.85047500,67.00510333,2.60,5.200,,0.416,156,15,42,,
T,2024-01-25 06:44:43,24.85047167,67.00511667,2.30,5.400,,0.680,151,15,42,,
T,2024-01-25 06:44:44,24.85047333,67.00512833,2.20,4.900,,0.670,90,14,42,,
T,2024-01-25 06:44:45,24.85047833,67.00514000,2.20,4.900,,0.782,81,15,42,,
T,2024-01-25 06:44:46,24.85049167,67.00515000,2.10,4.800,,0.939,46,15,42,,
T,2024-01-25 06:44:47,24.85049667,67.00515500,2.10,4.800,,1.079,79,15,42,,
T,2024-01-25 06:44:48,24.85049500,67.00517000,2.00,4.900,,1.220,93,14,42,,
T,2024-01-25 06:44:49,24.85047667,67.00519333,1.90,5.100,,0.860,80,15,42,,
T,2024-01-25 06:44:51,24.85047333,67.00521333,1.90,5.200,,0.776,92,15,42,,
T,2024-01-25 06:44:52,24.85047167,67.00522833,1.90,5.200,,0.847,87,15,42,,
T,2024-01-25 06:44:53,24.85047000,67.00524000,1.90,5.100,,0.876,98,15,42,,
T,2024-01-25 06:44:54,24.85046833,67.00525333,1.90,5.100,,0.898,102,15,42,,
T,2024-01-25 06:44:55,24.85047667,67.00526500,1.90,5.100,,0.920,85,15,42,,
T,2024-01-25 06:44:56,24.85047500,67.00527667,1.90,5.000,,0.921,89,15,42,,
T,2024-01-25 06:44:57,24.85047833,67.00529000,1.90,5.000,,0.919,83,15,42,,
T,2024-01-25 06:44:58,24.85048667,67.00530167,1.80,5.000,,0.911,75,15,42,,
T,2024-01-25 06:44:59,24.85049167,67.00531167,1.80,4.900,,0.887,71,15,42,,
T,2024-01-25 06:45:00,24.85048667,67.00531833,1.80,4.900,,0.889,83,17,42,,
