type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2024-01-25 06:55:57,24.85033667,67.00562500,1.80,13.700,,0.206,158,18,42,,Main gate
W,2024-01-25 06:56:58,24.85043167,67.00516667,2.00,11.300,,1.125,231,17,42,,Talpur house
W,2024-01-25 06:57:59,24.85039000,67.00466833,1.90,-0.400,,0.000,,18,42,,Washroom
W,2024-01-25 06:58:24,24.85047167,67.00451667,1.80,5.300,,0.839,278,17,42,,First aif
W,2024-01-25 06:59:04,24.85044333,67.00423000,2.10,8.300,,0.760,145,19,41,,Main library
W,2024-01-25 06:59:46,24.85063500,67.00413667,2.90,11.200,,0.000,,18,41,,Main building gate
W,2024-01-25 07:00:31,24.85068000,67.00380333,3.00,4.500,,0.000,,17,42,,Main building entrance gate
W,2024-01-25 07:00:51,24.85076833,67.00387833,3.40,4.000,,0.874,68,15,42,,Main building
T,2024-01-25 06:55:55,24.85035167,67.00562167,1.80,13.600,,0.169,187,17,42,20240125-115555,GPS Logger: 20240125-115555 - Main gate to main building
T,2024-01-25 06:55:56,24.85034167,67.00562500,1.80,13.700,,0.248,146,18,42,,
T,2024-01-25 06:55:57,24.85033667,67.00562500,1.80,13.700,,0.206,158,18,42,,
T,2024-01-25 06:55:58,24.85033333,67.00562500,1.80,13.800,,0.164,159,18,42,,
T,2024-01-25 06:55:59,24.85032833,67.00562333,1.80,13.700,,0.431,103,18,42,,
T,2024-01-25 06:56:00,24.85032333,67.00562500,1.80,13.800,,0.403,332,18,42,,
T,2024-01-25 06:56:01,24.85032500,67.00562333,1.80,13.600,,0.288,347,18,42,,
T,2024-01-25 06:56:02,24.85033667,67.00562333,1.80,13.800,,0.371,3,18,42,,
T,2024-01-25 06:56:03,24.85034667,67.00562333,1.80,14.000,,0.468,21,18,42,,
T,2024-01-25 06:56:04,24.85036000,67.00562500,1.80,14.000,,0.537,359,18,42,,
T,2024-01-25 06:56:05,24.85037167,67.00562667,1.90,14.100,,0.578,3,18,42,,
T,2024-01-25 06:56:06,24.85038167,67.00562833,1.90,14.000,,0.640,6,18,42,,
T,2024-01-25 06:56:07,24.85039833,67.00563000,1.90,13.900,,0.706,335,18,42,,
T,2024-01-25 06:56:08,24.85040500,67.00563167,1.90,13.900,,0.762,343,18,42,,
T,2024-01-25 06:56:09,24.85041833,67.00563333,1.90,13.800,,0.823,350,17,42,,
T,2024-01-25 06:56:10,24.85043167,67.00563167,1.90,13.700,,0.877,341,17,42,,
T,2024-01-25 06:56:11,24.85043833,67.00562167,1.90,13.700,,0.927,359,17,42,,
T,2024-01-25 06:56:12,24.85045000,67.00562167,1.90,13.800,,0.962,355,17,42,,
T,2024-01-25 06:56:13,24.85046500,67.00562000,1.80,13.900,,0.961,349,17,42,,
T,2024-01-25 06:56:14,24.85047500,67.00562000,1.80,13.800,,0.965,328,19,42,,
T,2024-01-25 06:56:15,24.85048333,67.00562000,1.80,13.700,,1.008,339,19,42,,
T,2024-01-25 06:56:16,24.85049833,67.00562167,1.80,13.700,,1.048,349,19,42,,
T,2024-01-25 06:56:17,24.85051167,67.00562333,1.80,13.800,,1.080,334,19,42,,
T,2024-01-25 06:56:18,24.85052500,67.00562167,1.70,13.800,,1.125,333,19,42,,
T,2024-01-25 06:56:19,24.85053500,67.00562000,1.80,13.900,,1.164,355,19,42,,
T,2024-01-25 06:56:20,24.85054167,67.00562000,1.90,13.900,,1.184,320,19,42,,
T,2024-01-25 06:56:21,24.85054667,67.00561333,1.90,14.100,,1.156,291,19,42,,
T,2024-01-25 06:56:22,24.85055167,67.00560500,1.90,14.300,,1.095,274,19,42,,
